Stove and oven 1	we	0.20	0.20	0.40	0.40	1.78	2.59	3.19	3.83	3.70	4.13	4.29	4.15	3.89	4.46	5.79	8.76	10.0	10.3	9.24	8.15	5.82	2.79	1.51	0.36
Stove and oven 1	wd	0.37	0.05	0.00	0.00	0.00	0.17	1.72	2.65	4.37	5.94	6.97	7.86	7.92	7.15	6.39	5.89	6.78	7.41	7.32	7.23	6.93	4.09	2.30	1.02
Stove and oven 2	we	0.20	0.20	0.40	0.40	1.78	2.59	3.19	3.83	3.70	4.13	4.29	4.15	3.89	4.46	5.79	8.76	10.0	10.3	9.24	8.15	5.82	2.79	1.51	0.36
Stove and oven 2	wd	0.37	0.05	0.00	0.00	0.00	0.17	1.72	2.65	4.37	5.94	6.97	7.86	7.92	7.15	6.39	5.89	6.78	7.41	7.32	7.23	6.93	4.09	2.30	1.02
Stove and oven 3	we	0.20	0.20	0.40	0.40	1.78	2.59	3.19	3.83	3.70	4.13	4.29	4.15	3.89	4.46	5.79	8.76	10.0	10.3	9.24	8.15	5.82	2.79	1.51	0.36
Stove and oven 3	wd	0.37	0.05	0.00	0.00	0.00	0.17	1.72	2.65	4.37	5.94	6.97	7.86	7.92	7.15	6.39	5.89	6.78	7.41	7.32	7.23	6.93	4.09	2.30	1.02
Microwave oven	we	0.20	0.20	0.40	0.40	1.78	2.59	3.19	3.83	3.70	4.13	4.29	4.15	3.89	4.46	5.79	8.76	10.0	10.3	9.24	8.15	5.82	2.79	1.51	0.36
Microwave oven	wd	0.37	0.05	0.00	0.00	0.00	0.17	1.72	2.65	4.37	5.94	6.97	7.86	7.92	7.15	6.39	5.89	6.78	7.41	7.32	7.23	6.93	4.09	2.30	1.02
Coffee maker	we	0.20	0.20	0.40	0.40	1.78	2.59	3.19	3.83	3.70	4.13	4.29	4.15	3.89	4.46	5.79	8.76	10.0	10.3	9.24	8.15	5.82	2.79	1.51	0.36
Coffee maker	wd	0.37	0.05	0.00	0.00	0.00	0.17	1.72	2.65	4.37	5.94	6.97	7.86	7.92	7.15	6.39	5.89	6.78	7.41	7.32	7.23	6.93	4.09	2.30	1.02
Refrigerator	we	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17
Refrigerator	wd	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17
Freezer	we	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17
Freezer	wd	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17
Second freezer	we	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17
Second freezer	wd	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17
Dishwasher	we	1.73	0.96	0.40	0.40	0.40	0.96	1.73	2.93	3.75	4.58	4.68	4.68	4.68	4.68	4.68	6.11	6.83	7.16	7.80	8.60	8.16	7.01	5.05	2.03
Dishwasher	wd	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.70	2.00	4.61	7.02	7.23	7.23	7.34	7.34	7.34	7.43	7.43	7.74	7.74	7.43	6.12	3.91	0.90
Clothes-washer 1	we	1.73	0.96	0.40	0.40	0.40	0.96	1.73	2.93	3.75	4.58	4.68	4.68	4.68	4.68	4.68	6.11	6.83	7.16	7.80	8.60	8.16	7.01	5.05	2.03
Clothes-washer 1	wd	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.70	2.00	4.61	7.02	7.23	7.23	7.34	7.34	7.34	7.43	7.43	7.74	7.74	7.43	6.12	3.91	0.90
Clothes-washer 2	we	1.73	0.96	0.40	0.40	0.40	0.96	1.73	2.93	3.75	4.58	4.68	4.68	4.68	4.68	4.68	6.11	6.83	7.16	7.80	8.60	8.16	7.01	5.05	2.03
